City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Los Llanos De Aridane,ES,2021-04-04 15:31:18,28.6585,-17.9182,68.0,56,75,3.44
141,Sao Joao Da Barra,BR,2021-04-04 15:27:04,-21.6403,-41.0511,84.2,54,75,11.5
142,Yuyao,CN,2021-04-04 15:31:18,30.05,121.1494,53.6,50,0,8.95
143,Havoysund,NO,2021-04-04 15:31:18,70.9963,24.6622,32.0,80,75,4.61
144,Tiksi,RU,2021-04-04 15:27:09,71.6872,128.8694,-21.1,100,71,4.74
145,Ilulissat,GL,2021-04-04 15:31:19,69.2167,-51.1,15.8,53,20,21.18
146,Khasan,RU,2021-04-04 15:31:19,42.4308,130.6434,39.34,58,0,5.08
147,Senekal,ZA,2021-04-04 15:31:19,-28.3197,27.6208,69.91,37,0,8.03
148,Rio Grande,BR,2021-04-04 15:31:20,-32.035,-52.0986,79.0,69,75,19.57
149,Chuy,UY,2021-04-04 15:31:20,-33.6971,-53.4616,76.48,61,15,9.64
150,Saint-Gabriel,CA,2021-04-04 15:31:20,46.3001,-73.3824,39.2,64,48,8.05
151,Mar Del Plata,AR,2021-04-04 15:27:38,-38.0023,-57.5575,75.99,73,40,11.5
152,Kamenica,DE,2021-04-04 15:31:20,50.8333,12.9167,51.01,51,67,3.0
153,Longyearbyen,SJ,2021-04-04 15:31:21,78.2186,15.6401,22.89,71,94,35.08
154,Sao Filipe,CV,2021-04-04 15:30:17,14.8961,-24.4956,77.29,63,17,1.23
155,Gat,IL,2021-04-04 15:31:21,31.61,34.7642,64.99,55,0,1.01
156,Karratha,AU,2021-04-04 15:27:00,-20.7377,116.8463,84.79,48,3,5.82
157,Port-Gentil,GA,2021-04-04 15:31:22,-0.7193,8.7815,87.8,70,20,12.66
158,Livramento,BR,2021-04-04 15:31:22,-3.0254,-60.1803,87.8,70,40,5.75
159,Tougue,GN,2021-04-04 15:31:22,11.4667,-11.6,98.49,8,70,6.51
160,Lebu,CL,2021-04-04 15:30:43,-37.6167,-73.65,62.49,59,0,6.93
161,Olafsvik,IS,2021-04-04 15:31:23,64.8945,-23.7142,20.19,53,100,16.98
162,Lishu,CN,2021-04-04 15:31:23,43.3047,124.3278,44.58,22,0,8.1
163,Kanigoro,ID,2021-04-04 15:31:23,-8.13,112.219,73.76,95,86,5.99
