,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Hauterive,FR,46.09,3.45,57.2,58,0,18.41,clear sky
242,Tarakan,ID,3.30,117.63,77.0,94,40,2.3,scattered clouds
243,Tambo,PE,-14.80,-73.92,46.53,66,70,9.46,broken clouds
244,Maxixe,MZ,-23.86,35.35,77.0,78,20,6.06,few clouds
245,Naze,JP,28.37,129.48,62.73,66,96,19.1,overcast clouds
246,Tezu,IN,27.92,96.17,68.88,68,30,4.47,light rain
247,Neiafu,TO,-18.65,-173.98,71.6,94,40,1.19,scattered clouds
248,Inirida,CO,3.87,-67.92,72.27,97,100,3.96,overcast clouds
249,Porto-Vecchio,FR,41.59,9.28,57.2,94,90,17.27,overcast clouds
250,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,87.94,57,81,3.62,broken clouds
251,Cachoeira Do Sul,BR,-30.04,-52.89,93.07,32,88,6.6,overcast clouds
252,Norman Wells,CA,65.28,-126.83,-9.4,64,90,10.36,light snow
253,Humaita,BR,-7.51,-63.02,84.78,65,100,4.76,overcast clouds
254,Chulman,RU,56.85,124.91,-1.1,98,94,5.3,overcast clouds
255,Atar,MR,20.52,-13.05,97.07,10,0,11.45,clear sky
256,Pemberton,CA,50.32,-122.80,33.8,80,20,3.44,few clouds
257,Anadyr,RU,64.75,177.48,3.2,72,0,4.47,clear sky
258,Sisimiut,GL,66.94,-53.67,28.24,79,99,4.27,overcast clouds
259,Pangoa,PE,-12.12,-73.00,80.26,64,100,3.56,overcast clouds
260,Pisco,PE,-13.70,-76.22,73.99,64,0,9.22,clear sky
261,Fengxian,CN,34.70,116.59,51.33,69,98,10.58,light rain
262,Thompson,CA,55.74,-97.86,33.8,69,75,3.44,broken clouds
263,Pangnirtung,CA,66.15,-65.71,15.8,86,90,1.68,overcast clouds
264,Avera,US,33.19,-82.53,75.2,64,40,10.36,scattered clouds
265,Springdale,US,36.19,-94.13,48.99,100,90,13.8,overcast clouds
266,Evensk,RU,61.95,159.23,5.85,75,100,9.71,overcast clouds
267,Belaya Gora,RU,68.53,146.42,-30.08,100,50,4.34,scattered clouds
268,Trincomalee,LK,8.57,81.23,82.27,73,12,6.82,few clouds
269,Bathsheba,BB,13.22,-59.52,80.6,65,20,9.22,volcanic ash
270,Luanda,AO,-8.84,13.23,86.0,74,40,6.91,scattered clouds
271,Taltal,CL,-25.40,-70.48,68.31,71,95,6.08,overcast clouds
272,Gilbues,BR,-9.83,-45.34,90.09,37,82,5.3,broken clouds
273,Roald,NO,62.58,6.13,37.4,81,40,10.36,scattered clouds
274,Pauini,BR,-7.71,-66.98,72.57,98,100,2.66,overcast clouds
275,Margate,GB,51.38,1.39,41.0,82,100,7.0,moderate rain
276,Faanui,PF,-16.48,-151.75,81.9,75,97,10.54,overcast clouds
277,Acarau,BR,-2.89,-40.12,85.1,69,64,17.54,broken clouds
278,Shubarkuduk,KZ,49.14,56.49,51.87,64,44,16.82,scattered clouds
279,Andenes,NO,69.31,16.12,35.6,87,90,21.85,heavy intensity rain
280,Flinders,AU,-34.58,150.86,60.01,66,0,5.01,clear sky
281,Mayskiy,RU,47.69,40.10,51.8,46,20,4.47,few clouds
282,Isiro,CD,2.77,27.62,68.18,94,99,5.75,light rain
283,Alberton,CA,46.82,-64.07,37.4,70,6,16.11,clear sky
284,Bay Roberts,CA,47.60,-53.26,34.0,97,100,4.0,light rain
285,Dukat,RU,62.55,155.55,-10.62,99,100,5.39,overcast clouds
286,Halifax,CA,44.65,-63.57,53.6,50,81,4.61,broken clouds
287,Kyenjojo,UG,0.63,30.62,63.7,92,92,2.06,light rain
288,Ulladulla,AU,-35.35,150.47,57.99,62,1,12.66,clear sky
289,Severnoye,RU,56.35,78.36,28.17,98,39,0.98,scattered clouds
290,Cangzhou,CN,38.32,116.87,57.27,42,81,8.34,broken clouds
291,Pyaozerskiy,RU,65.83,31.17,30.69,83,52,8.95,broken clouds
292,Bandrele,YT,-12.91,45.19,78.8,89,97,3.44,overcast clouds
293,Bagdarin,RU,54.43,113.60,11.07,64,1,3.76,clear sky
294,Kalmunai,LK,7.42,81.82,80.13,77,48,5.01,scattered clouds
295,Nanortalik,GL,60.14,-45.24,37.36,89,100,8.46,overcast clouds
296,Tiarei,PF,-17.53,-149.33,82.4,69,75,11.72,broken clouds
297,Chagoda,RU,59.16,35.33,42.71,73,96,12.46,overcast clouds
298,Malakal,SS,9.53,31.66,93.38,9,83,5.35,broken clouds
299,Junin,AR,-34.58,-60.94,65.59,96,100,8.25,overcast clouds
300,Krasnotorka,UA,48.68,37.53,46.26,56,46,7.87,scattered clouds
301,Bolgatanga,GH,10.79,-0.85,101.34,12,52,6.85,broken clouds
302,Abha,SA,18.22,42.51,69.8,48,20,6.91,few clouds
303,Gwanda,ZW,-20.93,29.00,67.05,47,0,6.17,clear sky
304,Salalah,OM,17.02,54.09,82.4,74,0,6.91,clear sky
305,Almenara,BR,-16.18,-40.69,83.41,48,47,4.56,scattered clouds
306,Santa Cruz Del Sur,CU,20.71,-78.00,83.05,59,94,10.56,light rain
307,Okhotsk,RU,59.38,143.30,22.51,93,100,8.46,light snow
308,Skibbereen,IE,51.55,-9.27,41.0,65,40,10.36,scattered clouds
309,Mahon,ES,39.89,4.27,59.0,88,75,5.75,broken clouds
310,Yar-Sale,RU,66.83,70.83,25.74,95,61,10.89,broken clouds
311,Bara,NG,10.37,10.73,93.25,8,88,7.52,overcast clouds
312,Olafsvik,IS,64.89,-23.71,38.41,92,100,12.71,overcast clouds
313,Banda Aceh,ID,5.56,95.32,79.68,81,49,6.91,scattered clouds
314,Huarmey,PE,-10.07,-78.15,74.12,77,83,8.46,broken clouds
315,Saskylakh,RU,71.92,114.08,-5.4,88,14,10.09,few clouds
316,Sola,VU,-13.88,167.55,79.29,76,100,3.71,overcast clouds
317,Velsk,RU,61.07,42.10,41.23,75,100,14.38,overcast clouds
318,Aykhal,RU,66.00,111.50,-10.07,100,88,7.43,overcast clouds
319,Kargopol,RU,61.51,38.95,40.44,81,100,15.05,overcast clouds
320,Provideniya,RU,64.38,-173.30,-1.66,87,100,22.01,overcast clouds
321,Aksu,CN,41.12,80.26,57.61,26,5,6.62,clear sky
322,Slupsk,PL,54.46,17.03,36.84,65,85,4.18,overcast clouds
323,Kilis,TR,36.72,37.12,44.6,87,75,11.81,broken clouds
324,Luganville,VU,-15.53,167.17,76.46,88,100,5.39,overcast clouds
325,Fairview,US,40.81,-74.00,69.01,59,40,3.44,scattered clouds
326,Fairbanks,US,64.84,-147.72,-0.99,64,1,6.91,clear sky
327,Padang,ID,-0.95,100.35,77.0,94,40,2.3,scattered clouds
328,Nantucket,US,41.28,-70.10,53.01,81,90,13.8,overcast clouds
329,Guantanamo,CU,20.14,-75.21,86.0,62,75,19.57,broken clouds
330,Brownsville,US,25.90,-97.50,84.2,61,90,14.97,overcast clouds
331,Sipe Sipe,BO,-17.45,-66.38,80.6,32,75,4.61,broken clouds
332,Beidao,CN,34.57,105.89,49.46,90,100,1.25,light rain
333,Tarut,SA,26.57,50.04,84.2,34,0,14.97,clear sky
334,Khandyga,RU,62.67,135.60,16.54,79,100,9.82,overcast clouds
335,Deputatskiy,RU,69.30,139.90,-23.89,95,8,2.28,clear sky
336,Plettenberg Bay,ZA,-34.05,23.37,62.17,90,100,3.27,overcast clouds
337,Sulya,IN,12.57,75.38,80.6,74,20,0.98,few clouds
338,Opunake,NZ,-39.46,173.86,61.0,97,32,3.0,scattered clouds
339,Korla,CN,41.76,86.15,57.54,40,2,2.64,clear sky
340,Constitucion,CL,-35.33,-72.42,63.41,56,0,12.88,clear sky
341,Narrabri,AU,-30.32,149.78,53.01,76,12,5.75,few clouds
342,Kahului,US,20.89,-156.47,66.2,88,20,8.01,few clouds
343,Goulburn,AU,-34.75,149.72,46.99,93,36,17.22,scattered clouds
